p,q,trend,fit_time(m),aic,MAE1,MAE2,MAE3,MAE4,RMSE1,RMSE2,RMSE3,RMSE4
1,0,n,4,9263022.056168467,2078.362628142911,2228.8618348560685,2857.1032744939203,3654.970759103063,3315.937566627114,3756.6825466153023,4881.972502962405,6363.242249834153
1,0,c,5,9263029.839103743,2078.3564822141393,2228.8237393887466,2857.0640335535627,3654.958369454598,3316.0295657684333,3756.8433774887785,4882.216715058664,6363.5397321987075
1,0,ct,5,9263037.090499472,2079.492415432189,2230.1027089437703,2858.5389387960577,3656.6772501905175,3317.131472783891,3758.059588000633,4883.591030355304,6365.059707154123
1,0,t,5,9263029.32552236,2079.4813394046,2230.1131057836096,2858.541260593286,3656.655125916663,3317.016715253793,3757.865767012567,4883.304464169245,6364.709562274903
1,1,n,101,9250188.550454268,2077.8911448107206,2228.1800519260714,2856.2746501516554,3653.903283999857,3315.467741571281,3755.989469748088,4881.171187476535,6362.2550599449
1,1,c,144,9250176.74350286,2077.830924349505,2228.2247984440733,2856.0760026445255,3654.076401005467,3315.9357812135318,3757.105107604191,4882.487444450036,6364.145567514371
1,1,ct,145,9250339.306128878,2084.744958065623,2239.378794753764,2867.478692868968,3668.272211536997,3322.4820213686567,3766.942587475744,4892.492105684839,6375.78997845903
1,1,t,143,9250342.40843364,2079.3354342778093,2229.6788128983358,2858.058012220792,3655.917710880305,3316.8744422058553,3757.4356368800745,4882.850337337771,6364.061775350486
1,2,n,199,9249308.211489113,2079.721061073776,2230.806849117944,2860.1637915872643,3658.743004916464,3317.281683428235,3758.527354479348,4884.811336303282,6366.5124340598995
1,2,c,201,9248855.46478189,2078.5375024880113,2228.9870848871556,2857.6737671693886,3655.7040187541597,3316.5995258415105,3757.7639045781925,4883.970817938673,6365.555030043057
