model,p,q,MSE,MAE,ForeMSE,ForeMAE
AA-FT,1,1,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,1,2,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,1,3,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,1,4,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,1,5,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,2,1,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,2,2,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,2,3,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,2,4,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,2,5,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,3,1,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,3,2,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,3,3,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,3,4,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,3,5,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,4,1,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,4,2,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,4,3,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,4,4,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,4,5,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,5,1,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,5,2,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,5,3,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,5,4,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
AA-FT,5,5,75344.19380645575,197.46381802180542,36121.58030482001,148.12618454925095
