p,d,q,R2,SMAPE,AIC
0,0,0,0.004643183513245996,131.26434949016308,189057.18840331983
0,0,1,0.004891057337719107,131.26434949016308,153154.97669234694
0,0,2,0.0051517457549352655,131.26434949016308,150174.9659057624
0,0,3,0.005365917713462065,131.26434949016308,148284.1386346952
0,0,4,0.00540790912071798,131.26434949016308,148339.63811555607
0,0,5,0.005309355309681907,131.26434949016308,149240.05040074766
0,0,6,0.005099181212141257,131.26434949016308,150567.4562106668
0,0,7,0.005079686565070407,131.26434949016308,150687.41120593617
0,0,8,0.0051075378751541676,131.26434949016308,150635.70938582678
0,0,9,0.005183518978767343,131.26434949016308,150443.535096518
0,0,10,0.005243068273498741,131.26434949016308,150450.91248548188
1,0,0,0.0058117320203996395,131.27088836056754,145383.8338069347
1,0,1,0.005805648165006949,131.27313131562977,145348.6769485653
1,0,2,0.005878804151019268,131.2719240427212,145218.31850802831
1,0,3,0.005321374322187933,131.27901847522372,146396.29103597163
1,0,4,0.004197221839943532,131.45485467205478,147481.71539408056
1,0,5,0.003133914361185708,132.03529958022378,146214.4836597092
1,0,6,0.0052996678216294954,131.2794055543776,147006.11054444461
1,0,7,0.005390442877443613,131.28070778989084,146404.33343171314
1,0,8,0.005719822227820193,131.41765926707208,147808.4936894853
1,0,9,0.00495067726174514,131.46494439412814,145845.13548412189
1,0,10,0.003946189171943336,131.82866710638947,145455.63466372012
2,0,0,0.005807932687215578,131.27335776788917,145340.3977126076
2,0,1,-0.06997469193311033,143.2683061791376,145574.0691587241
2,0,2,-0.02016886481105762,131.62004259633366,145974.3836566069
2,0,3,-0.2505387639633909,137.48968333136878,146234.04537570378
2,0,4,0.004335385245092582,131.81722117158785,144899.56020322914
2,0,5,0.0038749627526089006,131.56306939956934,145586.1137901703
2,0,6,0.006839332530420128,131.12961127354907,152212.27972084587
2,0,7,-0.06060599012317348,131.11943006425562,371810.20503381494
2,0,8,0.0027577635576422344,131.57112611216485,145775.78712265156
2,0,9,0.2497017104409487,126.65686314745504,140921.14873121926
2,0,10,0.010044660490718504,131.39074364911846,142868.2910818528
3,0,0,0.0059179412592369465,131.26825652137177,145179.16519108054
3,0,1,0.005886408178582325,131.26936627639756,145251.65070517425
3,0,2,0.0010044635199213392,133.38628084625492,144448.19395081673
3,0,3,-4.555097175822652e+64,198.95900912376817,146552.56114307395
3,0,4,-0.00597002273711289,131.7750544742077,146073.10915457638
3,0,5,-0.012549123862329205,131.90920943251436,145050.07368863944
3,0,6,0.008264558187298543,131.21599410287226,145337.84296653687
3,0,7,0.0064460215283308475,131.26056644042478,144245.83780839172
3,0,8,0.004055717074876952,131.86169218458105,144209.46757687765
3,0,9,-0.6836894709466461,127.7954049229487,141043.55995018195
3,0,10,0.015169078951259853,131.2315614672625,142357.2728810532
4,0,0,0.006038933324926665,131.26255356752725,145012.55051545775
4,0,1,0.005987016109806231,131.26497961979064,145094.71522812368
5,0,0,0.006261993725134141,131.25236327862595,144704.4767780924
5,0,1,0.006142671748110784,131.25737676142336,144850.26845769334
6,0,0,0.006757324681062049,131.2412941098074,144309.85954540584
6,0,1,0.006503879255066014,131.24615773581348,144486.15954357176
7,0,0,0.007628515054639573,131.2216891249901,143853.96373383133
7,0,1,0.007159590597807242,131.23084832875335,144049.27473848348
8,0,0,0.008924854255102699,131.19044380246427,143422.71453302802
8,0,1,0.008192760151832457,131.20617198995274,143607.581254491
9,0,0,0.01093164597127616,131.14162765694545,143026.82481926697
9,0,1,0.009687396060472087,131.16940128977157,143236.83866748778
10,0,0,0.015278661942344729,131.0328745813766,142433.75579063533
10,0,1,0.012491434544134927,131.09738824410377,142736.1920165394
