p,d,q,P,D,Q,MSE,SMAPE,AIC
0,0,0,0,0,0,3993.993830902127,131.2643494901631,189057.18840331983
0,0,0,0,0,1,3985.390879594973,131.19721980964232,155009.73920935555
0,0,0,0,0,2,3978.5730908479695,131.13885645386395,153775.71708612482
0,0,0,0,1,0,992.7358886216797,115.95368721885337,143957.9660245251
0,0,0,0,1,1,931.7127202505199,115.11391263648324,136242.49783586024
0,0,0,0,1,2,927.0134753964902,115.02799708494874,135848.34606992107
0,0,0,1,0,0,3780.6189788402203,129.92320276417843,142683.84473225276
0,0,0,1,0,1,2221.2701454348107,120.87955980121104,137491.35144213005
0,0,0,1,0,2,1946.8082410155307,119.20621731139875,136941.27259810845
0,0,0,1,1,0,1023.0438548085313,116.45980176391892,140609.9974295103
0,0,0,1,1,1,926.3686127785655,115.02785057037406,136062.03477562795
0,0,0,1,1,2,929.719443999561,115.04395866005721,135842.10231457118
0,0,0,2,0,0,3434.5765858294208,128.13906580163507,140103.85257477418
0,0,0,2,0,1,2200.986470259968,120.7546349681639,137228.1773026198
0,0,0,2,0,2,1309.4713600587813,115.49888764392814,136563.53596109408
